,Unnamed: 0,Unnamed: 0.1,X,Y,name,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
62,62,12,1.7496372,48.9900419996948,akena,78335.0,limay,hosting,hotel,Hôtel,POINT (1.7496372 48.9900419996948),4562
63,63,12,1.7496372,48.9900419996948,akena,78335.0,limay,hosting,hotel,Hôtel,POINT (1.7496372 48.9900419996948),4563
64,64,12,1.7496372,48.9900419996948,akena,78335.0,limay,hosting,hotel,Hôtel,POINT (1.7496372 48.9900419996948),4689
65,65,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),14901
66,66,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),14902
67,67,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),15027
68,68,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),15028
69,69,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),15153
70,70,13,2.4951251,48.9305179997095,Missing,93005.0,aulnay-sous-bois,hosting,hostel,Autre,POINT (2.4951251 48.9305179997095),15154
71,71,14,2.3720352,48.84811589973,ibis styles,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3720352 48.84811589973),13147
72,72,14,2.3720352,48.84811589973,ibis styles,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3720352 48.84811589973),13272
73,73,14,2.3720352,48.84811589973,ibis styles,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3720352 48.84811589973),13273
74,74,14,2.3720352,48.84811589973,ibis styles,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3720352 48.84811589973),13398
75,75,14,2.3720352,48.84811589973,ibis styles,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3720352 48.84811589973),13399
76,76,15,2.3457842,48.8532486997287,hôtel les rives de notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3457842 48.8532486997287),12768
77,77,15,2.3457842,48.8532486997287,hôtel les rives de notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3457842 48.8532486997287),12894
78,78,15,2.3457842,48.8532486997287,hôtel les rives de notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3457842 48.8532486997287),12895
79,79,15,2.3457842,48.8532486997287,hôtel les rives de notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3457842 48.8532486997287),13020
80,80,15,2.3457842,48.8532486997287,hôtel les rives de notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3457842 48.8532486997287),13021
81,81,16,2.3464585,48.8530810997287,hôtel notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3464585 48.8530810997287),12768
82,82,16,2.3464585,48.8530810997287,hôtel notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3464585 48.8530810997287),12894
83,83,16,2.3464585,48.8530810997287,hôtel notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3464585 48.8530810997287),12895
84,84,16,2.3464585,48.8530810997287,hôtel notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3464585 48.8530810997287),13020
85,85,16,2.3464585,48.8530810997287,hôtel notre-dame,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3464585 48.8530810997287),13021
