,Unnamed: 0,X,Y,com_insee,com_nom,Type,connexion_type,Type_détaillé,geometry,0
141,28,2.3206849,48.8797756997221,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3206849 48.8797756997221),12765
142,29,2.3339044,48.8718306997241,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3339044 48.8718306997241),12640
143,29,2.3339044,48.8718306997241,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3339044 48.8718306997241),12766
144,29,2.3339044,48.8718306997241,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3339044 48.8718306997241),12767
145,29,2.3339044,48.8718306997241,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3339044 48.8718306997241),12892
146,30,2.3359342,48.8809851997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3359342 48.8809851997218),12639
147,30,2.3359342,48.8809851997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3359342 48.8809851997218),12765
148,30,2.3359342,48.8809851997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3359342 48.8809851997218),12766
149,30,2.3359342,48.8809851997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3359342 48.8809851997218),12891
150,31,2.3313489,48.8793763997222,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3313489 48.8793763997222),12639
151,31,2.3313489,48.8793763997222,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3313489 48.8793763997222),12640
152,31,2.3313489,48.8793763997222,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3313489 48.8793763997222),12765
153,31,2.3313489,48.8793763997222,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3313489 48.8793763997222),12766
154,31,2.3313489,48.8793763997222,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3313489 48.8793763997222),12891
155,32,2.3370185,48.8809441997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3370185 48.8809441997218),12639
156,32,2.3370185,48.8809441997218,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3370185 48.8809441997218),12765
