,X,Y,code_insee_commune,gratuit,tarification,accessibilite_pmr,condition_acces,Type,type,Type_détaillé,geometry,0
17,2.03784,48.70494,78160.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.037839889526367 48.70494079589844),8752
17,2.03784,48.70494,78160.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.037839889526367 48.70494079589844),8753
18,2.0178065,48.68676,78162.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0178065299987793 48.68675994873047),8250
18,2.0178065,48.68676,78162.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0178065299987793 48.68675994873047),8251
18,2.0178065,48.68676,78162.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0178065299987793 48.68675994873047),8376
18,2.0178065,48.68676,78162.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0178065299987793 48.68675994873047),8377
18,2.0178065,48.68676,78162.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0178065299987793 48.68675994873047),8503
19,1.987506,48.70622,78193.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9875060319900513 48.70621871948242),7870
19,1.987506,48.70622,78193.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9875060319900513 48.70621871948242),7871
19,1.987506,48.70622,78193.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9875060319900513 48.70621871948242),7996
19,1.987506,48.70622,78193.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9875060319900513 48.70621871948242),7997
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8626
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8627
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8752
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8753
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8878
20,2.0449963,48.706116,78160.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.0449962615966797 48.70611572265625),8879
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),6860
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),6861
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),6986
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),6987
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),7112
21,1.9206762,48.723415,78334.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9206762313842773 48.72341537475586),7113
22,1.9489709,48.744022,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.948970913887024 48.744022369384766),7236
22,1.9489709,48.744022,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.948970913887024 48.744022369384766),7362
22,1.9489709,48.744022,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.948970913887024 48.744022369384766),7363
22,1.9489709,48.744022,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.948970913887024 48.744022369384766),7488
22,1.9489709,48.744022,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.948970913887024 48.744022369384766),7489
23,1.9569209,48.744724,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.956920862197876 48.74472427368164),7362
23,1.9569209,48.744724,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.956920862197876 48.74472427368164),7488
23,1.9569209,48.744724,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.956920862197876 48.74472427368164),7489
23,1.9569209,48.744724,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.956920862197876 48.74472427368164),7614
23,1.9569209,48.744724,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.956920862197876 48.74472427368164),7615
24,1.9616497,48.742664,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9616496562957764 48.7426643371582),7488
24,1.9616497,48.742664,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9616496562957764 48.7426643371582),7489
24,1.9616497,48.742664,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9616496562957764 48.7426643371582),7614
24,1.9616497,48.742664,78397.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9616496562957764 48.7426643371582),7615
25,1.9933319,48.71866,78548.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9933319091796875 48.718658447265625),7869
25,1.9933319,48.71866,78548.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9933319091796875 48.718658447265625),7995
25,1.9933319,48.71866,78548.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9933319091796875 48.718658447265625),7996
25,1.9933319,48.71866,78548.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9933319091796875 48.718658447265625),8121
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7746
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7747
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7872
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7873
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7998
26,1.982882,48.68718,78590.0,Missing,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.982882022857666 48.68717956542969),7999
27,2.2156563,48.782806,78640.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.215656280517578 48.782806396484375),11012
27,2.2156563,48.782806,78640.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.215656280517578 48.782806396484375),11138
27,2.2156563,48.782806,78640.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.215656280517578 48.782806396484375),11139
27,2.2156563,48.782806,78640.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.215656280517578 48.782806396484375),11264
28,1.9320917,48.756798,78168.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9320917129516602 48.756797790527344),6983
28,1.9320917,48.756798,78168.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9320917129516602 48.756797790527344),7108
28,1.9320917,48.756798,78168.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9320917129516602 48.756797790527344),7109
28,1.9320917,48.756798,78168.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.9320917129516602 48.756797790527344),7235
29,2.3755996,48.684086,91687.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3755996227264404 48.684085845947266),13291
29,2.3755996,48.684086,91687.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3755996227264404 48.684085845947266),13417
29,2.3755996,48.684086,91687.0,False,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.3755996227264404 48.684085845947266),13543
30,1.8798103,48.851406,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798103332519531 48.85140609741211),6342
30,1.8798103,48.851406,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798103332519531 48.85140609741211),6343
30,1.8798103,48.851406,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798103332519531 48.85140609741211),6468
30,1.8798103,48.851406,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798103332519531 48.85140609741211),6469
31,1.8798705,48.851387,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798705339431763 48.85138702392578),6342
31,1.8798705,48.851387,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798705339431763 48.85138702392578),6343
31,1.8798705,48.851387,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798705339431763 48.85138702392578),6468
31,1.8798705,48.851387,78062.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.8798705339431763 48.85138702392578),6469
32,1.7973607,48.86563,78616.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.7973606586456299 48.865631103515625),5081
32,1.7973607,48.86563,78616.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.7973606586456299 48.865631103515625),5206
32,1.7973607,48.86563,78616.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.7973606586456299 48.865631103515625),5207
32,1.7973607,48.86563,78616.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.7973606586456299 48.865631103515625),5332
32,1.7973607,48.86563,78616.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (1.7973606586456299 48.865631103515625),5333
33,2.061063,48.80799,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061063051223755 48.80799102783203),8867
33,2.061063,48.80799,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061063051223755 48.80799102783203),8868
33,2.061063,48.80799,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061063051223755 48.80799102783203),8993
33,2.061063,48.80799,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061063051223755 48.80799102783203),8994
33,2.061063,48.80799,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061063051223755 48.80799102783203),9119
34,2.0619645,48.80825,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061964511871338 48.808250427246094),8867
34,2.0619645,48.80825,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061964511871338 48.808250427246094),8868
34,2.0619645,48.80825,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061964511871338 48.808250427246094),8993
34,2.0619645,48.80825,78545.0,True,Missing,accessibilité inconnue,accès libre,charging_station,Missing,Accès libre,POINT (2.061964511871338 48.808250427246094),8994
