,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
62,62,62,13,2.19162200839759,48.7595733142006,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.19162200839759 48.7595733142006),10762
63,63,63,13,2.19162200839759,48.7595733142006,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.19162200839759 48.7595733142006),10763
64,64,64,13,2.19162200839759,48.7595733142006,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.19162200839759 48.7595733142006),10888
65,65,65,13,2.19162200839759,48.7595733142006,Missing,78322.0,jouy-en-josas,allotments,Autre,POINT (2.19162200839759 48.7595733142006),10889
66,66,66,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13272
67,67,67,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13273
68,68,68,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13398
69,69,69,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13399
70,70,70,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13524
71,71,71,14,2.38041126281632,48.8498213014016,l'aligresse,75056.0,paris,allotments,Autre,POINT (2.38041126281632 48.8498213014016),13525
72,72,72,15,2.45679257840271,48.8734113631884,Missing,93048.0,montreuil,allotments,Autre,POINT (2.45679257840271 48.8734113631884),14404
73,73,73,15,2.45679257840271,48.8734113631884,Missing,93048.0,montreuil,allotments,Autre,POINT (2.45679257840271 48.8734113631884),14529
74,74,74,15,2.45679257840271,48.8734113631884,Missing,93048.0,montreuil,allotments,Autre,POINT (2.45679257840271 48.8734113631884),14530
75,75,75,15,2.45679257840271,48.8734113631884,Missing,93048.0,montreuil,allotments,Autre,POINT (2.45679257840271 48.8734113631884),14656
76,76,76,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13143
77,77,77,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13144
78,78,78,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13269
79,79,79,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13270
80,80,80,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13395
81,81,81,16,2.36860679251486,48.878365215492,jardin partagé,75056.0,paris,allotments,Jardin,POINT (2.36860679251486 48.878365215492),13396
82,82,82,17,2.03967972637201,48.9717977588536,Missing,78138.0,chanteloup-les-vignes,allotments,Autre,POINT (2.03967972637201 48.9717977588536),8471
83,83,83,17,2.03967972637201,48.9717977588536,Missing,78138.0,chanteloup-les-vignes,allotments,Autre,POINT (2.03967972637201 48.9717977588536),8597
84,84,84,17,2.03967972637201,48.9717977588536,Missing,78138.0,chanteloup-les-vignes,allotments,Autre,POINT (2.03967972637201 48.9717977588536),8723
85,85,85,18,2.85917515367448,48.9206985923969,Missing,77276.0,mareuil-lès-meaux,allotments,Autre,POINT (2.85917515367448 48.9206985923969),20068
86,86,86,18,2.85917515367448,48.9206985923969,Missing,77276.0,mareuil-lès-meaux,allotments,Autre,POINT (2.85917515367448 48.9206985923969),20069
87,87,87,18,2.85917515367448,48.9206985923969,Missing,77276.0,mareuil-lès-meaux,allotments,Autre,POINT (2.85917515367448 48.9206985923969),20194
88,88,88,18,2.85917515367448,48.9206985923969,Missing,77276.0,mareuil-lès-meaux,allotments,Autre,POINT (2.85917515367448 48.9206985923969),20195
89,89,89,19,2.38300697001262,48.8696382765539,Missing,75056.0,paris,allotments,Autre,POINT (2.38300697001262 48.8696382765539),13396
90,90,90,19,2.38300697001262,48.8696382765539,Missing,75056.0,paris,allotments,Autre,POINT (2.38300697001262 48.8696382765539),13397
91,91,91,19,2.38300697001262,48.8696382765539,Missing,75056.0,paris,allotments,Autre,POINT (2.38300697001262 48.8696382765539),13522
92,92,92,19,2.38300697001262,48.8696382765539,Missing,75056.0,paris,allotments,Autre,POINT (2.38300697001262 48.8696382765539),13523
93,93,93,20,2.38317657551778,48.8696829365281,Missing,75056.0,paris,allotments,Autre,POINT (2.38317657551778 48.8696829365281),13396
94,94,94,20,2.38317657551778,48.8696829365281,Missing,75056.0,paris,allotments,Autre,POINT (2.38317657551778 48.8696829365281),13397
95,95,95,20,2.38317657551778,48.8696829365281,Missing,75056.0,paris,allotments,Autre,POINT (2.38317657551778 48.8696829365281),13522
96,96,96,20,2.38317657551778,48.8696829365281,Missing,75056.0,paris,allotments,Autre,POINT (2.38317657551778 48.8696829365281),13523
97,97,97,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),2798
98,98,98,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),2799
99,99,99,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),2924
100,100,100,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),2925
101,101,101,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),3050
102,102,102,21,1.63465281209353,48.9942351093539,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63465281209353 48.9942351093539),3051
103,103,103,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),2798
104,104,104,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),2799
105,105,105,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),2924
106,106,106,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),2925
107,107,107,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),3050
108,108,108,22,1.63076521781037,48.9938751084748,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63076521781037 48.9938751084748),3051
109,109,109,23,1.63749554676235,48.9950863634758,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63749554676235 48.9950863634758),2924
110,110,110,23,1.63749554676235,48.9950863634758,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63749554676235 48.9950863634758),2925
111,111,111,23,1.63749554676235,48.9950863634758,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63749554676235 48.9950863634758),3050
112,112,112,23,1.63749554676235,48.9950863634758,Missing,78531.0,rosny-sur-seine,allotments,Autre,POINT (1.63749554676235 48.9950863634758),3051
113,113,113,24,2.30827730460282,48.9107075342648,Missing,92024.0,clichy-la-garenne,allotments,Autre,POINT (2.30827730460282 48.9107075342648),12258
114,114,114,24,2.30827730460282,48.9107075342648,Missing,92024.0,clichy-la-garenne,allotments,Autre,POINT (2.30827730460282 48.9107075342648),12383
115,115,115,24,2.30827730460282,48.9107075342648,Missing,92024.0,clichy-la-garenne,allotments,Autre,POINT (2.30827730460282 48.9107075342648),12384
116,116,116,24,2.30827730460282,48.9107075342648,Missing,92024.0,clichy-la-garenne,allotments,Autre,POINT (2.30827730460282 48.9107075342648),12509
117,117,117,24,2.30827730460282,48.9107075342648,Missing,92024.0,clichy-la-garenne,allotments,Autre,POINT (2.30827730460282 48.9107075342648),12510
118,118,118,25,2.03087551257229,49.0086192691537,Missing,95323.0,jouy-le-moutier,allotments,Autre,POINT (2.03087551257229 49.0086192691537),8341
119,119,119,25,2.03087551257229,49.0086192691537,Missing,95323.0,jouy-le-moutier,allotments,Autre,POINT (2.03087551257229 49.0086192691537),8466
