,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
1079,2.32697953741505,48.7946653608974,Centre de Documentation,94016,Cachan,library,Bibliothèque,POINT (2.32697953741505 48.7946653608974),12648
1079,2.32697953741505,48.7946653608974,Centre de Documentation,94016,Cachan,library,Bibliothèque,POINT (2.32697953741505 48.7946653608974),12649
1079,2.32697953741505,48.7946653608974,Centre de Documentation,94016,Cachan,library,Bibliothèque,POINT (2.32697953741505 48.7946653608974),12774
1079,2.32697953741505,48.7946653608974,Centre de Documentation,94016,Cachan,library,Bibliothèque,POINT (2.32697953741505 48.7946653608974),12775
1080,2.42583345560796,48.6235924284791,Université d'Évry - Bibliothèque universitaire,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.42583345560796 48.6235924284791),13928
1080,2.42583345560796,48.6235924284791,Université d'Évry - Bibliothèque universitaire,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.42583345560796 48.6235924284791),14053
1080,2.42583345560796,48.6235924284791,Université d'Évry - Bibliothèque universitaire,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.42583345560796 48.6235924284791),14054
1080,2.42583345560796,48.6235924284791,Université d'Évry - Bibliothèque universitaire,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.42583345560796 48.6235924284791),14179
1080,2.42583345560796,48.6235924284791,Université d'Évry - Bibliothèque universitaire,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.42583345560796 48.6235924284791),14180
1081,2.43533120009959,48.6404538612766,Bibliothèque Départementale,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.43533120009959 48.6404538612766),14052
1081,2.43533120009959,48.6404538612766,Bibliothèque Départementale,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.43533120009959 48.6404538612766),14177
1081,2.43533120009959,48.6404538612766,Bibliothèque Départementale,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.43533120009959 48.6404538612766),14178
1081,2.43533120009959,48.6404538612766,Bibliothèque Départementale,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.43533120009959 48.6404538612766),14303
1081,2.43533120009959,48.6404538612766,Bibliothèque Départementale,91228,Évry-Courcouronnes,library,Bibliothèque,POINT (2.43533120009959 48.6404538612766),14304
1082,2.36284610693315,48.7098416556155,Médiathèque Antoine de Saint-Exupéry,91479,Paray-Vieille-Poste,library,Médiathèque,POINT (2.36284610693315 48.7098416556155),13036
1082,2.36284610693315,48.7098416556155,Médiathèque Antoine de Saint-Exupéry,91479,Paray-Vieille-Poste,library,Médiathèque,POINT (2.36284610693315 48.7098416556155),13162
1082,2.36284610693315,48.7098416556155,Médiathèque Antoine de Saint-Exupéry,91479,Paray-Vieille-Poste,library,Médiathèque,POINT (2.36284610693315 48.7098416556155),13163
1082,2.36284610693315,48.7098416556155,Médiathèque Antoine de Saint-Exupéry,91479,Paray-Vieille-Poste,library,Médiathèque,POINT (2.36284610693315 48.7098416556155),13288
1082,2.36284610693315,48.7098416556155,Médiathèque Antoine de Saint-Exupéry,91479,Paray-Vieille-Poste,library,Médiathèque,POINT (2.36284610693315 48.7098416556155),13289
1083,2.38123705342318,48.9420154064025,Médiathèque Gulliver,93066,Saint-Denis,library,Médiathèque,POINT (2.38123705342318 48.9420154064025),13262
1083,2.38123705342318,48.9420154064025,Médiathèque Gulliver,93066,Saint-Denis,library,Médiathèque,POINT (2.38123705342318 48.9420154064025),13388
1083,2.38123705342318,48.9420154064025,Médiathèque Gulliver,93066,Saint-Denis,library,Médiathèque,POINT (2.38123705342318 48.9420154064025),13389
1083,2.38123705342318,48.9420154064025,Médiathèque Gulliver,93066,Saint-Denis,library,Médiathèque,POINT (2.38123705342318 48.9420154064025),13514
1083,2.38123705342318,48.9420154064025,Médiathèque Gulliver,93066,Saint-Denis,library,Médiathèque,POINT (2.38123705342318 48.9420154064025),13515
