,X,Y,nom,emplacements,com_insee,com_nom,Type,Type_détaillé,geometry,0
118,48.828728,2.1172006,,,,,taxi,Taxi,POINT (48.82872772216797 2.1172006130218506),
119,48.95698,2.8739774,Gare de Meaux,,,,taxi,Taxi,POINT (48.95698165893555 2.8739774227142334),
120,48.850292,2.3928947,,,,,taxi,Taxi,POINT (48.85029220581055 2.392894744873047),
121,48.871506,2.3426368,,,,,taxi,Taxi,POINT (48.87150573730469 2.342636823654175),
122,48.872158,2.339478,Drouot,,,,taxi,Taxi,POINT (48.87215805053711 2.339478015899658),
123,48.737373,2.5543816,,,,,taxi,Taxi,POINT (48.73737335205078 2.5543816089630127),
124,48.853848,2.3325262,Saint-Germain des Prés,,,,taxi,Taxi,POINT (48.85384750366211 2.332526206970215),
125,48.857494,2.5309744,,,,,taxi,Taxi,POINT (48.85749435424805 2.5309743881225586),
126,48.829235,2.1176383,,,,,taxi,Taxi,POINT (48.8292350769043 2.117638349533081),
127,48.893776,2.3363457,,,,,taxi,Taxi,POINT (48.893775939941406 2.336345672607422),
128,48.83918,2.3825586,,,,,taxi,Taxi,POINT (48.83917999267578 2.382558584213257),
129,48.805668,2.6186843,,,,,taxi,Taxi,POINT (48.805667877197266 2.6186842918395996),
130,48.867214,2.3065357,,,,,taxi,Taxi,POINT (48.86721420288086 2.3065357208251953),
131,48.862583,2.3147273,Gare des Invalides,,,,taxi,Taxi,POINT (48.86258316040039 2.314727306365967),
132,48.85383,2.3129406,Place Vauban,,,,taxi,Taxi,POINT (48.85382843017578 2.3129405975341797),
133,48.86999,2.301417,,,,,taxi,Taxi,POINT (48.869991302490234 2.301417112350464),
134,48.871315,2.3009696,,,,,taxi,Taxi,POINT (48.871315002441406 2.3009696006774902),
135,48.875526,2.32548,,,,,taxi,Taxi,POINT (48.875526428222656 2.3254799842834473),
136,48.7665,2.0792599,,,,,taxi,Taxi,POINT (48.76649856567383 2.0792598724365234),
137,48.863052,2.3526294,,,,,taxi,Taxi,POINT (48.86305236816406 2.3526294231414795),
138,48.755257,2.30157,,,,,taxi,Taxi,POINT (48.75525665283203 2.301569938659668),
139,48.846245,2.3767507,,,,,taxi,Taxi,POINT (48.84624481201172 2.3767507076263428),
140,48.87018,2.370779,,,,,taxi,Taxi,POINT (48.87017822265625 2.370779037475586),
141,48.94825,2.436982,,,,,taxi,Taxi,POINT (48.94824981689453 2.4369819164276123),
142,48.86826,2.401554,,,,,taxi,Taxi,POINT (48.86825942993164 2.4015541076660156),
143,48.8313,2.2669816,,,,,taxi,Taxi,POINT (48.831298828125 2.266981601715088),
144,48.825783,2.3469176,,,,,taxi,Taxi,POINT (48.825782775878906 2.3469176292419434),
145,48.68044,2.532177,,,,,taxi,Taxi,POINT (48.68043899536133 2.532176971435547),
146,48.72585,2.2618196,,,,,taxi,Taxi,POINT (48.72584915161133 2.26181960105896),
147,48.82847,2.3264399,Alésia,,,,taxi,Taxi,POINT (48.828468322753906 2.32643985748291),
148,48.564922,2.290715,Taxi Marolles,,,,taxi,Taxi,POINT (48.56492233276367 2.290714979171753),
149,48.867943,2.3620076,,,,,taxi,Taxi,POINT (48.867942810058594 2.3620076179504395),
150,48.58631,2.240929,,,,,taxi,Taxi,POINT (48.58631134033203 2.240928888320923),
151,48.86066,2.3260608,,,,,taxi,Taxi,POINT (48.860660552978516 2.3260607719421387),
152,49.013233,2.252226,Rue de Paris,,,,taxi,Taxi,POINT (49.01323318481445 2.2522261142730713),
153,48.84953,2.337204,,,,,taxi,Taxi,POINT (48.84952926635742 2.3372039794921875),
154,48.852135,2.3393495,Odéon,,,,taxi,Taxi,POINT (48.852134704589844 2.3393495082855225),
155,48.87727,2.3269491,,,,,taxi,Taxi,POINT (48.87726974487305 2.326949119567871),
156,48.831184,2.3539944,Place d'Italie,,,,taxi,Taxi,POINT (48.83118438720703 2.353994369506836),
157,48.884693,2.3795881,,,,,taxi,Taxi,POINT (48.88469314575195 2.3795881271362305),
158,48.830616,2.2924113,,,,,taxi,Taxi,POINT (48.83061599731445 2.2924113273620605),
159,48.840305,2.5513618,,,,,taxi,Taxi,POINT (48.84030532836914 2.5513617992401123),
160,48.73973,2.425869,,,,,taxi,Taxi,POINT (48.73973083496094 2.4258689880371094),
161,48.59166,2.2678797,,,,,taxi,Taxi,POINT (48.59165954589844 2.2678797245025635),
162,48.82872,2.2632551,,,,,taxi,Taxi,POINT (48.82872009277344 2.2632551193237305),
163,48.676056,2.3516374,,,,,taxi,Taxi,POINT (48.676055908203125 2.351637363433838),
164,48.943,2.1274118,,2.0,,,taxi,Taxi,POINT (48.94300079345703 2.1274118423461914),
165,48.880283,2.181256,,,,,taxi,Taxi,POINT (48.88028335571289 2.181256055831909),
166,48.994446,2.4162116,Gare de Villliers-le-Bel,3.0,,,taxi,Taxi,POINT (48.99444580078125 2.4162116050720215),
167,49.01769,2.0909555,,,,,taxi,Taxi,POINT (49.0176887512207 2.0909554958343506),
168,48.86094,2.3454068,,,,,taxi,Taxi,POINT (48.860939025878906 2.3454067707061768),
169,48.70478,2.1911662,,,,,taxi,Taxi,POINT (48.70478057861328 2.1911661624908447),
170,48.945637,2.6889277,,,,,taxi,Taxi,POINT (48.94563674926758 2.68892765045166),
171,48.61365,2.4737132,,,,,taxi,Taxi,POINT (48.613651275634766 2.4737131595611572),
172,48.26835,2.685848,,4.0,,,taxi,Taxi,POINT (48.268348693847656 2.6858479976654053),
173,48.442966,2.760231,,,,,taxi,Taxi,POINT (48.44296646118164 2.7602310180664062),
174,48.378384,2.7997365,,,,,taxi,Taxi,POINT (48.37838363647461 2.799736499786377),
175,48.85919,2.9057214,Gare de Crécy-la-Chapelle,,,,taxi,Taxi,POINT (48.85919189453125 2.905721426010132),
176,48.805115,2.1884208,,,,,taxi,Taxi,POINT (48.80511474609375 2.1884207725524902),
177,48.775055,2.0062144,,,,,taxi,Taxi,POINT (48.775054931640625 2.0062143802642822),
178,48.8382,2.1864896,,,,,taxi,Taxi,POINT (48.838199615478516 2.1864895820617676),
179,48.837093,2.1525905,,2.0,,,taxi,Taxi,POINT (48.837093353271484 2.15259051322937),
180,48.628605,2.5707128,,,,,taxi,Taxi,POINT (48.628604888916016 2.5707128047943115),
181,48.707916,2.462205,,,,,taxi,Taxi,POINT (48.707916259765625 2.462204933166504),
