,X,Y,name,access,changing_table,wheelchair,drinking_water,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
147,2.3418325,48.8631574997262,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3418325 48.8631574997262),13019
148,2.3728567,48.8548797997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3728567 48.8548797997283),13146
148,2.3728567,48.8548797997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3728567 48.8548797997283),13272
148,2.3728567,48.8548797997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3728567 48.8548797997283),13398
149,2.3693862,48.8658467997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3693862 48.8658467997256),13145
149,2.3693862,48.8658467997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3693862 48.8658467997256),13270
149,2.3693862,48.8658467997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3693862 48.8658467997256),13271
149,2.3693862,48.8658467997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3693862 48.8658467997256),13397
150,2.3670401,48.8611136997268,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3670401 48.8611136997268),13145
150,2.3670401,48.8611136997268,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3670401 48.8611136997268),13146
150,2.3670401,48.8611136997268,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3670401 48.8611136997268),13271
150,2.3670401,48.8611136997268,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3670401 48.8611136997268),13272
150,2.3670401,48.8611136997268,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3670401 48.8611136997268),13397
151,2.3522484,48.8655058997257,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3522484 48.8655058997257),12893
151,2.3522484,48.8655058997257,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3522484 48.8655058997257),13018
151,2.3522484,48.8655058997257,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3522484 48.8655058997257),13019
151,2.3522484,48.8655058997257,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3522484 48.8655058997257),13145
152,2.3593611,48.8627490997264,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3593611 48.8627490997264),13019
152,2.3593611,48.8627490997264,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3593611 48.8627490997264),13145
152,2.3593611,48.8627490997264,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3593611 48.8627490997264),13146
152,2.3593611,48.8627490997264,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3593611 48.8627490997264),13271
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13019
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13020
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13145
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13146
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13271
153,2.3606992,48.860054099727,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3606992 48.860054099727),13272
154,2.3601249,48.8649726997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3601249 48.8649726997258),13019
154,2.3601249,48.8649726997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3601249 48.8649726997258),13144
154,2.3601249,48.8649726997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3601249 48.8649726997258),13145
154,2.3601249,48.8649726997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3601249 48.8649726997258),13271
155,2.4018818,48.8436849997311,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4018818 48.8436849997311),13651
155,2.4018818,48.8436849997311,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4018818 48.8436849997311),13652
155,2.4018818,48.8436849997311,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4018818 48.8436849997311),13777
155,2.4018818,48.8436849997311,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4018818 48.8436849997311),13778
155,2.4018818,48.8436849997311,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4018818 48.8436849997311),13903
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13651
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13652
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13777
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13778
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13903
156,2.4046644,48.8404507997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4046644 48.8404507997319),13904
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13273
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13274
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13399
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13400
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13525
157,2.3782109,48.8396109997321,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3782109 48.8396109997321),13526
158,2.3920432,48.8405213997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3920432 48.8405213997319),13525
158,2.3920432,48.8405213997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3920432 48.8405213997319),13526
158,2.3920432,48.8405213997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3920432 48.8405213997319),13651
158,2.3920432,48.8405213997319,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3920432 48.8405213997319),13652
